date,max_real_balance_residual_kwh,max_real_state_residual_kwh,max_plan_state_residual_kwh,max_scenario_balance_residual_kwh,real_E_min_kwh,real_E_max_kwh,plan_E_min_kwh,plan_E_max_kwh,plan_terminal_gap_kwh,simultaneous_plan_periods,emergency_charge_exec_periods,emergency_charge_scenario_periods,emergency_surplus_scenario_periods,max_charge_exec_kwh,max_discharge_exec_kwh
2025-10-03,0.0,9.094947017729282e-13,2.0463630789890885e-12,2.1600499167107046e-12,3446.260941065861,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,498.67564999999996
2025-10-04,5.684341886080802e-14,9.094947017729282e-13,2.7284841053187847e-12,4.547473508864641e-13,2629.6643634719976,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,501.82
2025-10-05,1.1368683772161603e-13,9.094947017729282e-13,9.094947017729282e-13,4.547473508864641e-13,1806.9306355430076,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,769.1396583958787
2025-10-06,0.0,9.094947017729282e-13,1.8189894035458565e-12,1.5916157281026244e-12,1861.9991320724855,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,789.2292166666666
2025-10-07,0.0,9.094947017729282e-13,2.6574298317427747e-12,5.684341886080801e-13,2146.46781636424,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,810.2468
2025-10-08,2.2737367544323206e-13,9.094947017729282e-13,2.7284841053187847e-12,4.547473508864641e-13,1265.0700417402331,10800.0,1199.9999999999998,10800.0,0.0,0,0,0,0,833.3333333333333,811.9084717102097
2025-10-09,0.0,9.094947017729282e-13,1.8189894035458565e-12,3.979039320256561e-13,1316.590467845439,10800.0,1200.0,10800.000000000002,0.0,0,0,0,0,833.3333333333333,820.1652
2025-10-10,0.0,9.094947017729282e-13,1.4779288903810084e-12,4.547473508864641e-13,2697.2678909985157,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,471.35151666666667
2025-10-11,0.0,7.389644451905042e-13,1.8189894035458565e-12,7.673861546209082e-13,2275.2476158954014,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,496.5483333333333
2025-10-12,1.1368683772161603e-13,7.958078640513122e-13,1.5418777365994174e-12,5.684341886080801e-13,1227.5325700597646,10800.0,1199.9999999999982,10800.0,0.0,0,0,0,0,833.3333333333333,805.4455310075837
2025-10-13,0.0,7.389644451905042e-13,2.6147972675971687e-12,4.547473508864641e-13,1331.4743187571617,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,806.2616666666665
2025-10-14,1.1368683772161603e-13,9.094947017729282e-13,2.5138433557003736e-09,2.4028636858020036e-09,1422.5143465626488,10800.0,1200.0,10800.000000000111,0.0,0,0,0,0,833.3333333333333,814.6924166666665
2025-10-15,0.0,6.821210263296962e-13,1.8189894035458565e-12,7.647216193618078e-13,1487.846874493517,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,808.0090833333334
2025-10-16,1.1368683772161603e-13,9.094947017729282e-13,4.547473508864641e-12,1.467270749344607e-11,1330.338105930918,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,814.5196333333333
2025-10-17,0.0,9.094947017729282e-13,1.8189894035458565e-12,3.410605131648481e-13,2729.862044338023,10800.0,1200.0,10800.0,0.0,0,0,0,0,833.3333333333333,486.10231666666664
