date,policy,total_cost_yuan,regular_cost_yuan,baseline_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kwh,emergency_intervals,end_storage_kwh,solver_time_s,max_mip_gap,wall_time_s
2025-08-08,24h,31034.342993306098,29816.8450781327,29583.36762637204,233.47745176065985,1217.497915173397,313.5889240765517,8,3453.249376383453,1.1193336008582264,0.0,0.050982799992198125
2025-08-09,24h,33994.74210196825,29804.06224094606,25976.181481991785,3827.880758954275,4190.67986102219,1219.873705164025,22,8256.936272354202,1.0310328000923619,0.0,0.05210110000916757
2025-08-10,24h,74006.61396106184,45963.36970981107,40031.221955656576,5932.1477541544955,28043.244251250762,6612.404595532253,86,8238.996557889135,1.0893996002851054,0.0,0.0480909000034444
2025-08-11,24h,64534.62468284526,48200.77832607869,43280.32848616947,4920.449839909219,16333.846356766564,3902.939059338793,56,8412.67832367142,1.067309999722056,0.0,0.04955650001647882
2025-08-12,24h,61749.65686922561,47964.70520181938,45873.469464078895,2091.235737740488,13784.951667406229,3397.1294293975834,56,8568.499289444051,1.0990080001065508,0.0,0.05151060002390295
2025-08-13,24h,64420.72770955544,47210.88668293216,42218.43709657948,4992.449586352682,17209.841026623275,4127.778786555111,55,8604.319500213598,1.077638400834985,0.0,0.0485571000026539
2025-08-14,24h,63083.696502463135,46422.33900921361,44290.343022954636,2131.995986258976,16661.35749324952,3827.695822914044,62,2690.7740869734976,1.0894535986008123,0.0,0.051029499998549
2025-08-15,24h,32129.38359783567,29348.66255143701,30243.32163069683,-894.6590792598222,2780.7210463986585,844.8903088344468,13,2815.878442412123,1.0346760016400367,0.0,0.050395900005241856
2025-08-16,24h,35576.61040112883,29447.42768535816,27779.439981091273,1667.9877042668882,6129.182715770672,1684.990651062128,31,4412.53183856936,1.0468908003531396,0.0,0.0476599000103306
2025-08-17,24h,72936.64553316699,44372.438577575806,39502.102916040996,4870.335661534807,28564.206955591177,6571.739255098924,78,6409.709510633982,1.0913724006386474,0.0,0.04970180001691915
2025-08-18,24h,65367.54282552314,47733.78863291624,44127.89133033354,3605.897302582697,17633.754192606895,4249.775656803986,59,8691.624877510912,1.0251324002165347,0.0,0.0521899999876041
2025-08-19,24h,66432.21154114492,46702.73554871938,43865.66696052588,2837.068588193498,19729.475992425545,4698.778502286449,62,8705.688927109088,1.1917511990759522,0.0,0.053946100000757724
2025-08-20,24h,63718.9622336028,48781.41858513552,47622.55692613598,1158.8616589995436,14937.54364846728,3434.5201880198492,55,5498.870485621178,1.141891200793907,0.0,0.0534963000100106
2025-08-21,24h,57664.92125429517,47317.66083239791,45513.46598695702,1804.194845440894,10347.260421897266,2605.05099032615,54,2505.3576505970445,1.0533959995955229,0.0,0.048412000003736466
2025-08-22,24h,33574.93243330404,30603.259372168486,30037.48116462469,565.7782075437983,2971.673061135559,790.0634864125411,15,3365.5328267436303,1.115355598856695,0.0,0.0511005999869667
2025-08-23,24h,34512.354663865626,31119.780198947432,25437.373524043025,5682.406674904408,3392.574464918193,1059.4670899132593,22,7183.698916512286,1.125964800012298,0.0,0.0550480000092648
2025-08-24,24h,77318.73202040655,46486.69704137939,40096.41749637815,6390.279545001245,30832.034979027165,7128.905692523012,82,8243.29445347484,1.151467199320905,0.0,0.05352630000561476
2025-08-25,24h,70212.55724371978,53434.248723601675,55884.245851381085,-2449.9971277794125,16778.308520118102,3916.52036184621,53,7442.861373448634,1.1262456000549719,0.0,0.054708899988327175
2025-08-26,24h,63719.02592146023,47881.58400478191,45259.795720462076,2621.78828431983,15837.44191667832,3666.876096474618,46,6259.6121088805885,1.115740799694322,0.0,0.05018750001909211
2025-08-27,24h,66670.7209406225,52339.08542877385,44447.392412348214,7891.693016425631,14331.63551184865,3349.3621930883814,57,8554.438926173823,1.1004659996833652,0.0,0.04909590000170283
2025-08-28,24h,69408.22264362732,48953.7917000419,43182.54878901271,5771.242911029184,20454.43094358543,4790.3843256601685,68,3464.258935745036,0.9283463997999206,0.0,0.046909800003049895
2025-08-29,24h,35649.62987936665,32403.717180928274,31541.13965911193,862.5775218163446,3245.9126984383765,816.8325322010385,10,3965.141025419386,1.1642976006260142,0.0,0.05563610000535846
2025-08-30,24h,31166.949480294214,28062.678416845643,27167.38070498099,895.297711864652,3104.27106344857,927.5664908998706,27,4673.092284429147,1.1979755993233994,0.0,0.0544608999916818
2025-08-31,24h,78145.41306291195,47515.82106090583,40281.741951767995,7234.0791091378305,30629.59200200611,6831.572326454685,77,8326.032756293578,1.2079800011124462,0.0,0.055330000002868474
2025-09-01,24h,54485.38194682816,48244.904575102235,48094.257284351355,150.64729075087945,6240.477371725921,1407.1384869925687,13,9852.690045345342,1.2315671994583681,0.0,0.05691410001600161
2025-09-02,24h,57315.8888525091,44275.139155108714,41332.758019834,2942.3811352747157,13040.749697400386,2935.7613391805635,26,5698.239214502673,1.1713716000085697,0.0,0.05377830000361428
2025-09-03,24h,53519.94396773955,46056.10709615316,43609.61568689235,2446.491409260809,7463.836871586393,1724.7421135219422,16,7365.684877779083,1.1298959995619953,0.0,0.05391119999694638
2025-09-04,24h,55205.63867349402,42872.04841515974,43244.47857613121,-372.4301609714705,12333.590258334278,2665.939985288903,18,4180.720500569663,1.187344801146537,0.0,0.05279680000967346
2025-09-05,24h,29337.453913209865,27987.85646427885,28884.34146907464,-896.4850047957864,1349.5974489310147,303.41754660031165,4,4878.674880729829,1.092045598430559,0.0,0.053666099993279204
2025-09-06,24h,31156.998862750792,27980.608229946207,24889.267763925032,3091.340466021175,3176.390632804583,774.2281571760182,12,10405.671262477816,1.0439748011995107,0.0,0.053184199990937486
2025-09-07,24h,60650.849569672486,38617.73754851576,35328.42881832571,3289.308730190054,22033.11202115673,4927.1505041518485,56,5147.569198200033,1.1378915986279026,0.0,0.0482592000043951
2025-09-08,24h,56994.13488938288,41957.12425192479,38247.473419949805,3709.650831974986,15037.010637458092,3556.513861839013,62,4550.720437631254,1.0811304001836106,0.0,0.04739019999396987
2025-09-09,24h,59368.05679513516,41127.57532134219,34968.43756725849,6159.137754083704,18240.48147379297,4128.8616372686,64,8519.35420145734,1.1563128005946055,0.0,0.05193169999984093
2025-09-10,24h,59737.28317182987,41671.605115062244,39017.30200005132,2654.303115010921,18065.678056767625,4106.857220726195,64,7329.059017060833,1.2235104009741917,0.0,0.05600769998272881
2025-09-11,24h,53276.08683089432,38537.9024511506,39418.23680551358,-880.3343543629821,14738.184379743714,3187.776360690189,58,3475.775821510249,1.0459008011966944,0.0,0.048688999988371506
