date,24h,48h,delta_24h_minus_48h_yuan
2025-08-20,63718.9622336028,63823.812377620416,-104.85014401761873
2025-08-21,57664.92125429517,58252.6555774662,-587.7343231710256
2025-08-22,33574.93243330404,36147.14941140944,-2572.2169781053963
2025-08-23,34512.354663865626,33747.23101059975,765.1236532658731
2025-08-24,77318.73202040655,76012.81040231857,1305.921618087974
2025-08-25,70212.55724371978,69762.93422026644,449.6230234533432
2025-08-26,63719.02592146023,62866.7463996933,852.2795217669263
2025-08-27,66670.7209406225,66130.89901515881,539.8219254636933
2025-08-28,69408.22264362732,70478.52996779597,-1070.3073241686507
2025-08-29,35649.62987936665,37938.51267500822,-2288.88279564157
2025-08-30,31166.949480294214,31449.738776136746,-282.78929584253274
2025-08-31,78145.41306291195,77097.51703327394,1047.89602963801
2025-09-01,54485.38194682816,54432.525677313446,52.85626951471204
2025-09-02,57315.8888525091,57006.86926173706,309.01959077204083
2025-09-03,53519.94396773955,52847.8878317311,672.0561360084466
2025-09-04,55205.63867349402,56604.682205351884,-1399.0435318578675
2025-09-05,29337.453913209865,31477.63265744695,-2140.178744237084
2025-09-06,31156.998862750792,32031.11523611872,-874.1163733679277
2025-09-07,60650.849569672486,59982.28975259945,668.5598170730373
2025-09-08,56994.13488938288,56351.47708672945,642.6578026534335
2025-09-09,59368.05679513516,59984.57872800426,-616.5219328690946
2025-09-10,59737.28317182987,59871.6507633738,-134.36759154393076
2025-09-11,53276.08683089432,53951.32507312915,-675.238242234831
2025-09-12,29889.963379778987,31731.419652143508,-1841.4562723645213
2025-09-13,27407.980940970523,26720.74458502284,687.2363559476835
2025-09-14,67386.16976577077,67283.15525410717,103.01451166359766
2025-09-15,61578.574378616344,62236.887985388246,-658.3136067719024
2025-09-16,59527.412537793585,59020.749392256024,506.6631455375609
2025-09-17,57620.324936915786,57477.132418145455,143.19251877033093
2025-09-18,60245.635286337034,61043.507672309584,-797.8723859725505
2025-09-19,28512.285195925782,30575.13311254713,-2062.8479166213474
2025-09-20,26001.85764767391,26290.667555717257,-288.8099080433458
2025-09-21,72608.48740823826,72847.77470647992,-239.2872982416593
2025-09-22,60147.53774943917,59325.15963549786,822.3781139413113
2025-09-23,62890.1091632941,62422.63372624055,467.475437053552
2025-09-24,60329.259929841086,60054.121586932924,275.1383429081616
2025-09-25,58091.62512711551,58542.27807270671,-450.652945591195
2025-09-26,27931.51823251804,30000.3462826709,-2068.8280501528607
2025-09-27,29489.429257753072,29087.04367744371,402.3855803093611
2025-09-28,80020.38785195947,79759.82171131813,260.5661406413419
2025-09-29,63771.50031578532,63462.716142495265,308.78417329005606
2025-09-30,65987.50113999943,65987.33969465697,0.16144534245540854
2025-10-01,53706.66396949697,53395.14377222926,311.5201972677096
2025-10-02,50100.00793266154,50656.037360780065,-556.029428118527
2025-10-03,26866.97376051592,28226.390156013138,-1359.4163954972173
2025-10-04,27867.752320335065,26647.75168745107,1220.0006328839954
